web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647923147-13316","https://www.edgeprop.my/buy/johor/all-residential?page=241","RM 680,000EdgeProp Only","Taman Perling","Jalan Camar, Jalan Undan, Jalan Pekaka, Johor Bahru, Johor","Landed","5 beds","2 bath","RM 242/sqft","2,800 sqft","",""
"1647921224-7417","https://www.edgeprop.my/buy/johor/all-residential?page=536","RM 270,000EdgeProp Only","Bandar Baru Seri Alam","Persiaran Seri Alam, Masai, Johor","Landed","3 beds","2 bath","RM 350/sqft","770 sqft","",""
"1647923338-13852","https://www.edgeprop.my/buy/johor/all-residential?page=215","RM 530,000EdgeProp Only","Leisure Farm","Gelang Patah, Johor","Landed","3 beds","2 bath","RM 368/sqft","1,440 sqft","",""
"1647923443-14197","https://www.edgeprop.my/buy/johor/all-residential?page=197","RM 538,000EdgeProp Only","Leisure Farm","Gelang Patah, Johor","Landed","3 beds","2 bath","RM 371/sqft","1,447 sqft","",""
"1647920669-5471","https://www.edgeprop.my/buy/johor/all-residential?page=634","RM 285,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","2 beds","2 bath","RM -","- sqft","",""
"1647920654-5412","https://www.edgeprop.my/buy/johor/all-residential?page=637","RM 228,000","Taman Puteri Wangsa","Jalan Kembia; Jalan Beladau; Jalan Lading; Jalan Jenawi, Ulu Tiram, Johor","Landed","2 beds","1 bath","RM 296/sqft","770 sqft","",""
"1647920573-5125","https://www.edgeprop.my/buy/johor/all-residential?page=651","RM 1,400,000","Taman Nusa Duta","Jalan Duta 1, Johor Bahru, Johor","Landed","6 + 1 beds","6 bath","3 carpark","RM 350/sqft","",""
"1647923581-14597","https://www.edgeprop.my/buy/johor/all-residential?page=177","RM 450,000EdgeProp Only","Taman Pulai Indah","Off Persiaran Pulai Indah, Kangkar Pulai, Johor","Landed","4 beds","3 bath","RM 167/sqft","2,688 sqft","",""
"1647920114-3425","https://www.edgeprop.my/buy/johor/all-residential?page=736","RM 345,000","Taman Megah Ria","Jalan Jelatang, Masai, Johor","Landed","3 beds","2 bath","RM 260/sqft","1,324 sqft","",""
"1647920719-5655","https://www.edgeprop.my/buy/johor/all-residential?page=624","RM 408,000","Larkin Residence","Jalan Dato Jaafar, Larkin, Johor Bahru, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 342/sqft","",""
"1647920552-5050","https://www.edgeprop.my/buy/johor/all-residential?page=655","RM 215,000EdgeProp Only","Sri Impian Apartment, Larkin Perdana","Susur Larkin Perdana 2, Taman Dato Onn Jaffar, Johor Bahru, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 229/sqft","",""
"1647919496-1391","https://www.edgeprop.my/buy/johor/all-residential?page=838","RM 428,000","The Straits View, Bandar Baru Permas Jaya","Jalan Permas Selatan, Permas Jaya/Senibong, Johor","Non Landed","3 beds","2 bath","RM 251/sqft","1,700 sqft","",""
"1647923869-15605","https://www.edgeprop.my/buy/johor/all-residential?page=127","RM 498,000EdgeProp Only","Bora Residences @ Danga Bay","Off Jalan Skudai, Danga Bay, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 457/sqft","1,088 sqft","",""
"1647922887-12581","https://www.edgeprop.my/buy/johor/all-residential?page=278","RM 728,000EdgeProp Only","Jalan Molek 1/6","Johor Bahru, Johor","Landed","4 beds","3 bath","2 carpark","RM 255/sqft","",""
"1647921051-6776","https://www.edgeprop.my/buy/johor/all-residential?page=568","RM 638,000EdgeProp Only","Bandar Seri Alam","Bandar Seri Alam 81750 Masai Johor, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 159/sqft","4,000 sqft","",""
"1647919491-1372","https://www.edgeprop.my/buy/johor/all-residential?page=839","RM 375,000","Taman Tampoi Utama","Jalan Sri Perjasa, Tampoi, Johor","Landed","3 beds","3 bath","RM 243/sqft","1,540 sqft","",""
"1647920674-5477","https://www.edgeprop.my/buy/johor/all-residential?page=633","RM 280,000","Sri Awana Town House Ground Floor, 3 Room Unit","Sri Awana Town House, Skudai, Johor","Landed","3 beds","2 bath","RM 234/sqft","1,195 sqft","",""
"1647922553-11783","https://www.edgeprop.my/buy/johor/all-residential?page=318","RM 215,000EdgeProp Only","Prima Regency","Jalan Masai Baru, Plentong, Johor","Non Landed","Studio","1 bath","RM 390/sqft","550 sqft","",""
